usuario_id,conquista_id
76561198098109169,KillPatriarchWithLAW
76561198098109169,DefeatPatriarchOnSuicidal
76561198098109169,KillXEnemies2
76561198098109169,KillXEnemies3
76561198098109169,WinWestLondonHard
76561198098109169,WinManorHard
76561198098109169,WinFarmHard
76561198098109169,WinOfficesHard
76561198098109169,WinBioticsLabHard
76561198098109169,WinAllMapsHard
76561198098109169,WinWestLondonSuicidal
76561198098109169,WinManorSuicidal
76561198098109169,WinFarmSuicidal
76561198098109169,WinOfficesSuicidal
76561198098109169,WinBioticsLabSuicidal
76561198098109169,WinAllMapsSuicidal
76561198098109169,WinFoundryNormal
76561198098109169,WinFoundryHard
76561198098109169,WinFoundrySuicidal
76561198098109169,WinAsylumNormal
76561198098109169,WinAsylumHard
76561198098109169,WinAsylumSuicidal
76561198098109169,WinWyreNormal
76561198098109169,WinWyreHard
76561198098109169,WinWyreSuicidal
76561198098109169,WinAll3SummerMapsNormal
76561198098109169,WinAll3SummerMapsHard
76561198098109169,WinAll3SummerMapsSuicidal
76561198098109169,Kill1000EnemiesWithPipebomb
76561198098109169,KillHuskWithFlamethrower
76561198098109169,KillPatriarchOnlyCrossbows
76561198098109169,Gib500ZedsWithM79
76561198098109169,LaserSightedEBRHeadshots25InARow
76561198098109169,Kill1000ZedsWithSCAR
76561198098109169,Heal200TeammatesWithMP7
76561198098109169,Kill100FleshpoundsWithAA12
76561198098109169,Kill20CrawlersKilledInAir
76561198098109169,Obliterate10ZedsWithPipebomb
76561198098109169,WinWestLondonHell
76561198098109169,WinManorHell
76561198098109169,WinFarmHell
76561198098109169,WinOfficesHell
76561198098109169,WinBioticsLabHell
76561198098109169,WinFoundryHell
76561198098109169,WinAsylumHell
76561198098109169,WinWyreHell
76561198098109169,WinBiohazardNormal
76561198098109169,WinBiohazardHard
76561198098109169,WinBiohazardSuicidal
76561198098109169,WinBiohazardHell
76561198098109169,WinCrashNormal
76561198098109169,WinCrashHard
76561198098109169,WinCrashSuicidal
76561198098109169,WinCrashHell
76561198098109169,WinDepartedNormal
76561198098109169,WinDepartedHard
76561198098109169,WinDepartedSuicidal
76561198098109169,WinDepartedHell
76561198098109169,WinFilthsCrossNormal
76561198098109169,WinFilthsCrossHard
76561198098109169,WinFilthsCrossSuicidal
76561198098109169,WinFilthsCrossHell
76561198098109169,WinHospitalHorrorsNormal
76561198098109169,WinHospitalHorrorsHard
76561198098109169,WinHospitalHorrorsSuicidal
76561198098109169,WinHospitalHorrorsHell
76561198098109169,WinIcebreakerNormal
76561198098109169,WinIcebreakerHard
76561198098109169,WinIcebreakerSuicidal
