categoria_id,jogo_id
2,4000
1,4000
49,4000
36,4000
47,4000
9,4000
38,4000
48,4000
27,4000
22,4000
29,4000
13,4000
30,4000
23,4000
8,4000
17,4000
16,4000
42,4000
62,4000
2,6870
62,6870
2,6880
62,6880
2,6910
1,6910
28,6910
62,6910
2,6920
28,6920
62,6920
2,6980
28,6980
62,6980
2,7000
28,7000
62,7000
2,7010
1,7010
62,7010
2,8000
28,8000
62,8000
2,400
22,400
28,400
13,400
17,400
16,400
14,400
41,400
42,400
44,400
62,400
2,8080
1,8080
24,8080
18,8080
44,8080
62,8080
2,8100
62,8100
2,8140
28,8140
62,8140
2,1250
1,1250
9,1250
27,1250
22,1250
29,1250
30,1250
8,1250
15,1250
17,1250
62,1250
2,35420
1,35420
9,35420
19,35420
62,35420
2,3590
22,3590
41,3590
42,3590
62,3590
2,8170
1,8170
18,8170
2,34900
22,34900
29,34900
62,34900
2,3610
62,3610
2,35000
62,35000
2,550
1,550
49,550
36,550
9,550
38,550
22,550
28,550
29,550
13,550
30,550
23,550
8,550
15,550
16,550
14,550
41,550
42,550
43,550
44,550
62,550
63,550
2,35140
22,35140
29,35140
18,35140
23,35140
62,35140
2,55100
1,55100
22,55100
18,55100
23,55100
8,55100
62,55100
2,620
1,620
9,620
38,620
39,620
24,620
22,620
28,620
29,620
13,620
51,620
30,620
23,620
15,620
17,620
14,620
41,620
42,620
43,620
44,620
62,620
2,55150
1,55150
22,55150
28,55150
25,55150
43,55150
62,55150
2,3830
22,3830
29,3830
18,3830
23,3830
41,3830
42,3830
62,3830
2,67370
1,67370
9,67370
22,67370
18,67370
62,67370
2,207610
22,207610
28,207610
29,207610
62,207610
2,50300
1,50300
27,50300
22,50300
28,50300
23,50300
15,50300
25,50300
43,50300
62,50300
2,217200
1,217200
49,217200
36,217200
37,217200
24,217200
62,217200
2,200260
22,200260
29,200260
18,200260
23,200260
62,200260
2,202970
1,202970
9,202970
22,202970
28,202970
29,202970
23,202970
8,202970
25,202970
43,202970
62,202970
2,202970
1,202970
9,202970
22,202970
28,202970
29,202970
23,202970
8,202970
25,202970
43,202970
62,202970
62,212910
2,204100
1,204100
22,204100
18,204100
2,225260
1,225260
49,225260
36,225260
22,225260
28,225260
29,225260
23,225260
41,225260
42,225260
43,225260
62,225260
2,210770
1,210770
9,210770
38,210770
22,210770
28,210770
29,210770
23,210770
25,210770
43,210770
62,210770
2,228300
22,228300
28,228300
29,228300
23,228300
43,228300
62,228300
2,234650
29,234650
30,234650
23,234650
17,234650
42,234650
62,234650
2,65930
22,65930
28,65930
29,65930
23,65930
43,65930
62,65930
1,10
49,10
36,10
37,10
8,10
62,10
1,20
49,20
36,20
37,20
8,20
44,20
62,20
1,30
8,30
62,30
1,40
49,40
36,40
37,40
8,40
44,40
62,40
2,50
1,50
8,50
44,50
62,50
1,60
49,60
36,60
8,60
62,60
2,70
1,70
49,70
36,70
28,70
23,70
8,70
41,70
42,70
44,70
62,70
2,130
44,130
62,130
1,113400
20,113400
22,113400
1,212390
20,212390
2,242760
1,242760
9,242760
38,242760
48,242760
52,242760
53,242760
18,242760
23,242760
62,242760
2,218620
1,218620
9,218620
38,218620
22,218620
28,218620
52,218620
53,218620
29,218620
35,218620
23,218620
41,218620
42,218620
43,218620
62,218620
2,271590
1,271590
49,271590
36,271590
9,271590
38,271590
22,271590
28,271590
41,271590
42,271590
43,271590
1,282660
27,282660
1,730
27,730
29,730
30,730
35,730
8,730
15,730
41,730
42,730
43,730
63,730
2,301640
1,301640
9,301640
22,301640
28,301640
29,301640
23,301640
25,301640
43,301640
62,301640
2,346330
1,346330
49,346330
36,346330
47,346330
9,346330
38,346330
48,346330
27,346330
22,346330
13,346330
30,346330
18,346330
8,346330
15,346330
25,346330
17,346330
16,346330
2,287290
1,287290
9,287290
38,287290
39,287290
22,287290
28,287290
29,287290
23,287290
25,287290
41,287290
42,287290
43,287290
44,287290
62,287290
2,80
1,80
8,80
62,80
2,80
1,80
8,80
62,80
1,300
27,300
22,300
29,300
8,300
15,300
16,300
62,300
2,220
22,220
28,220
29,220
13,220
23,220
16,220
41,220
42,220
44,220
62,220
2,340
14,340
44,340
62,340
1,240
27,240
22,240
23,240
8,240
15,240
16,240
62,240
2,280
44,280
62,280
1,360
8,360
62,360
1,320
8,320
16,320
62,320
2,380
22,380
28,380
13,380
23,380
15,380
16,380
14,380
44,380
62,380
1,1200
22,1200
8,1200
62,1200
1,1230
19,1230
22,1230
1,1280
49,1280
36,1280
19,1280
17,1280
2,6850
23,6850
62,6850
2,6860
23,6860
62,6860
2,6900
23,6900
62,6900
2,4560
1,4560
29,4560
30,4560
23,4560
62,4560
2,12200
18,12200
62,12200
2,31280
22,31280
62,31280
2,105600
1,105600
49,105600
36,105600
9,105600
38,105600
22,105600
28,105600
29,105600
23,105600
41,105600
42,105600
43,105600
62,105600
2,219740
28,219740
29,219740
30,219740
23,219740
41,219740
42,219740
43,219740
62,219740
2,322330
1,322330
49,322330
36,322330
47,322330
9,322330
38,322330
48,322330
28,322330
29,322330
30,322330
35,322330
41,322330
42,322330
43,322330
62,322330
2,227300
1,227300
9,227300
38,227300
22,227300
29,227300
30,227300
18,227300
23,227300
17,227300
41,227300
42,227300
44,227300
62,227300
2,230410
1,230410
9,230410
38,230410
27,230410
22,230410
28,230410
29,230410
30,230410
35,230410
41,230410
42,230410
2,215530
1,215530
9,215530
27,215530
22,215530
28,215530
29,215530
23,215530
15,215530
25,215530
43,215530
62,215530
2,252950
1,252950
49,252950
36,252950
37,252950
9,252950
38,252950
39,252950
24,252950
27,252950
22,252950
29,252950
30,252950
18,252950
23,252950
15,252950
41,252950
42,252950
43,252950
44,252950
62,252950
2,500
1,500
9,500
22,500
28,500
13,500
23,500
8,500
15,500
25,500
16,500
14,500
43,500
44,500
62,500
2,41500
22,41500
