appid,id,percentual_obtencao_usuarios
1250,Kill15HillbillyCrawlersThomOrMKB,7.300000190734863
1250,Heal3000PointsWithMP5DuringXMas,7.199999809265137
1250,WinCrashNormal,7.199999809265137
1250,WinBioticsLabHard,7.199999809265137
1250,Kill20CrawlersKilledInAir,7.099999904632568
1250,WinFoundryNormal,7.0
1250,DecapBurningHalloweenZedInBedlam,6.900000095367432
1250,KillHalloweenPatriarchInBedlam,6.900000095367432
1250,WinSideshowNormal,6.699999809265137
1250,WinDepartedNormal,6.699999809265137
1250,KillXScrakesWithChainsaw,6.599999904632568
1250,MeleeKill2ChristmasGorefastFromBack,6.400000095367432
1250,WinWyreNormal,6.400000095367432
1250,WinAllMapsNormal,6.400000095367432
1250,Kill2SideshowStalkerWithBackstab,6.300000190734863
1250,WinSantasEvilLairNormal,6.300000190734863
1250,WinAsylumNormal,6.300000190734863
1250,KillXBurningEnemiesWithCrossbow,6.300000190734863
1250,WinIceCaveNormal,6.199999809265137
1250,Kill1000ZedsWithSCAR,6.199999809265137
1250,DefeatPatriarchOnSuicidal,6.199999809265137
1250,WinWaterworksNormal,6.099999904632568
1250,WinBiohazardNormal,6.0
1250,Heal200TeammatesWithMP7,6.0
1250,ButItsAllRed,5.900000095367432
1250,Kill250HalloweenZedsInBedlam,5.699999809265137
1250,Kill1Hillbilly1HuskAndZedIn1Shot,5.599999904632568
1250,Gib500ZedsWithM79,5.599999904632568
1250,WinManorHard,5.599999904632568
1250,ClawMachineMaster,5.5
1250,HoldAll3DualiesDuringXMas,5.5
1250,WinIcebreakerNormal,5.5
1250,WinSuburbiaNormal,5.400000095367432
1250,WinFilthsCrossNormal,5.400000095367432
1250,WinMountainPassHard,5.300000190734863
1250,KillXMasScrakeWithDirectM203Nade,5.199999809265137
1250,WinHospitalHorrorsNormal,5.199999809265137
1250,Kill10ZedsSeekerOrM32In5Secs,5.099999904632568
1250,WinHellrideNormal,5.099999904632568
1250,KillSideshowHuskWithLAW,5.099999904632568
1250,KillPatriarchOnlyCrossbows,5.099999904632568
1250,Destroy25GnomesInHillbilly,5.0
1250,WinHillbillyNormal,4.900000095367432
1250,WinOfficesHard,4.800000190734863
1250,EscortRingmaster,4.699999809265137
1250,Unlock10ofSideshowAchievements,4.699999809265137
1250,WinFarmHard,4.699999809265137
1250,AllBreakersActive,4.599999904632568
1250,WinSteamLandNormal,4.599999904632568
1250,Drop5Tier2WeaponsOneWaveSideshow,4.599999904632568
1250,Achievement137,4.599999904632568
1250,ExScientist,4.5
1250,WinSteamLandObjNormal,4.5
1250,KillXZedsDuringWeld,4.400000095367432
1250,Kill12XMasZedsWith1BenelliClip,4.300000190734863
1250,WinFrightyardNormal,4.199999809265137
1250,WinAsylumHard,4.199999809265137
1250,WinFoundryHard,4.199999809265137
1250,WinDepartedHard,4.099999904632568
1250,Kill100FleshpoundsWithAA12,4.099999904632568
1250,WinAll3SummerMapsNormal,4.099999904632568
1250,Kill5ZedsInZedTimeNoReloadSPT,4.0
1250,KillXMasPatriarchWithClaymoreDecap,4.0
1250,Achievement134,4.0
1250,Drop3Tier3WeaponsForOthersChristmas,4.0
1250,Kill3ChristmasBloatsWithBullpup,4.0
1250,WinCrashHard,4.0
1250,WinHellNormal,3.9000000953674316
1250,CompleteArcadeGames,3.9000000953674316
1250,DwarfAxe,3.9000000953674316
1250,Achievement132,3.9000000953674316
1250,WinForgottenNormal,3.799999952316284
1250,HealAllPlayersWith1MedicNade,3.799999952316284
1250,WinBiohazardHard,3.799999952316284
1250,NitroInXSeconds,3.700000047683716
1250,GameOverMan,3.700000047683716
1250,WinSideshowHard,3.700000047683716
1250,Unlock10ofChristmasAchievements,3.700000047683716
1250,WinWyreHard,3.700000047683716
1250,DestroyPukeyDolls,3.5999999046325684
1250,Kill2ScrakesOneBulletWithBarret,3.5999999046325684
1250,MaxOutAllPerks,3.5999999046325684
1250,NoCarrierDamageGoldBars,3.5
1250,AttemptingReentry,3.5
1250,WinIceCaveHard,3.5
1250,KnifeChristmasFleshpound,3.5
1250,WinWaterworksHard,3.5
1250,WinAllMapsHard,3.5
1250,WinFrightyardObjNormal,3.4000000953674316
1250,WinBedlamHardHalloween,3.4000000953674316
1250,WinIcebreakerHard,3.4000000953674316
1250,WinHospitalHorrorsHard,3.4000000953674316
1250,WinFilthsCrossHard,3.4000000953674316
1250,WinBioticsLabSuicidal,3.4000000953674316
1250,DestroyDNAVials,3.299999952316284
1250,WinSantasEvilLairHard,3.299999952316284
1250,WinSuburbiaHard,3.299999952316284
1250,Kill1000EnemiesWithPipebomb,3.299999952316284
1250,WinWestLondonSuicidal,3.299999952316284
1250,WinTransitNormal,3.200000047683716
1250,WinHellrideHard,3.200000047683716
1250,KillChristmasSirenWithLawImpact,3.200000047683716
1250,WinSirensBelchNormal,3.0999999046325684
1250,WinFrightyardHard,3.0999999046325684
1250,Complete6ReaperAchievements,3.0999999046325684
1250,KillOneOfEachZedsWithKSG,3.0999999046325684
1250,Kill15XMasHusksWithHuskCannon,3.0999999046325684
1250,CompleteNewAchievementsNormal,3.0999999046325684
1250,WinAll3SummerMapsHard,3.0999999046325684
1250,WinStrongholdNormal,3.0
1250,BileOrFlameEachZed,3.0
1250,WinHillbillyHard,3.0
1250,LaserSightedEBRHeadshots25InARow,3.0
1250,WinManorSuicidal,3.0
1250,WinTransitObjNormal,2.9000000953674316
1250,BlindingBigBrother,2.9000000953674316
1250,WinSteamLandHard,2.9000000953674316
1250,Kill25HalloweenScrakesInBedlam,2.9000000953674316
1250,WinMountainPassSuicidal,2.9000000953674316
1250,WinOfficesSuicidal,2.9000000953674316
